,Название площадки,Адрес,vector
74,Выставочный комплекс «Экспоцентр»,"Краснопресненская наб., 14","Выставочный комплекс «Экспоцентр» Краснопресненская наб., 14"
75,Центральный дом литераторов,"г. Москва, Б. Никитская, д. 53","Центральный дом литераторов г. Москва, Б. Никитская, д. 53"
76,Центральный дом работников искусства,"г.Москва, Пушечная, 9/6","Центральный дом работников искусства г.Москва, Пушечная, 9/6"
77,ГБУК г. Москвы «ФЦ Москва»,"ул. Барклая, 9","ГБУК г. Москвы «ФЦ Москва» ул. Барклая, 9"
78,Москонцерт Холл,"г.Москва, ул.Каланчевская д.33","Москонцерт Холл г.Москва, ул.Каланчевская д.33"
79,МДТ «Бенефис»,"г.Москва, ул.Гарибальди, д.23 к.4","МДТ «Бенефис» г.Москва, ул.Гарибальди, д.23 к.4"
80,БСА Лужники,"Лужнецкая набережная, дом 24","БСА Лужники Лужнецкая набережная, дом 24"
81,Клуб «16 Тонн»,"г.Москва, Пресненский вал, д.6, стр. 1","Клуб «16 Тонн» г.Москва, Пресненский вал, д.6, стр. 1"
82,Детский театр эстрады,"г.Москва, ул. Бауманская д.32. стр.1","Детский театр эстрады г.Москва, ул. Бауманская д.32. стр.1"
83,Центральный Дом Актера,"г.Москва, Старый Арбат д.35","Центральный Дом Актера г.Москва, Старый Арбат д.35"
84,Театр «Русская песня» (Малая сцена),"г. Москва, ул. Садовая-Черногрязская д. 5/9 стр. 2","Театр «Русская песня» (Малая сцена) г. Москва, ул. Садовая-Черногрязская д. 5/9 стр. 2"
85,Театр Терезы Дуровой,"г.Москва, Павловская, 6","Театр Терезы Дуровой г.Москва, Павловская, 6"
86,Театр «Одеон»,"г. Моcква, 3-я улица Ямского Поля, дом 15","Театр «Одеон» г. Моcква, 3-я улица Ямского Поля, дом 15"
87,Римско-католический кафедральный собор,ул. Малая Грузинская д. 27/13 стр. 1,Римско-католический кафедральный собор ул. Малая Грузинская д. 27/13 стр. 1
88,Концертный зал «Останкино»,"г. Москва, ул. Академика Королева, 15, корп. 2","Концертный зал «Останкино» г. Москва, ул. Академика Королева, 15, корп. 2"
89,Театр имени М.А. Булгакова," КЦ ""Булгаковский Дом"", ул. Большая Садовая, д.10","Театр имени М.А. Булгакова  КЦ ""Булгаковский Дом"", ул. Большая Садовая, д.10"
90,Культурный центр «Салют»,ул. Свободы д. 37,Культурный центр «Салют» ул. Свободы д. 37
91,МГВЗ «Новый манеж»,"г. Москва, Георгиевский переулок дом 3, строение 3 ","МГВЗ «Новый манеж» г. Москва, Георгиевский переулок дом 3, строение 3 "
92,Korston Club Hotel,"ул.Косыгина, д.15","Korston Club Hotel ул.Косыгина, д.15"
93,Театр Аллы Духовой «TODES»,"г.Москва, проспект Мира, д.95, стр. 1","Театр Аллы Духовой «TODES» г.Москва, проспект Мира, д.95, стр. 1"
94,Галерея Александра Шилова,ул. Знаменка д.3,Галерея Александра Шилова ул. Знаменка д.3
95,Театр «Буфф»,"Улица Лесная, дом 59, строение 1","Театр «Буфф» Улица Лесная, дом 59, строение 1"
96,Москонцерт,"Ленинградский пр-т, 30, стр.2","Москонцерт Ленинградский пр-т, 30, стр.2"
97,КЦ «Вдохновение»,"Литовский бульвар, дом 7","КЦ «Вдохновение» Литовский бульвар, дом 7"
98,Цирк Чудес,"г. Москва, ул.Ивана Франко, д.14","Цирк Чудес г. Москва, ул.Ивана Франко, д.14"
99,Музей-заповедник «Царицыно»,"ул. Дольская, д.1","Музей-заповедник «Царицыно» ул. Дольская, д.1"
100,Клуб «Гнездо Глухаря»,"г.Москва, Цветной бульвар, д.30","Клуб «Гнездо Глухаря» г.Москва, Цветной бульвар, д.30"
101,Центр театра и кино п/р Никиты Михалкова. ГИТИС ,"г. Москва, улица Академика Пилюгина, дом 2","Центр театра и кино п/р Никиты Михалкова. ГИТИС  г. Москва, улица Академика Пилюгина, дом 2"
102,Театр «Новая Опера»,"г.Москва, Каретный ряд , 3","Театр «Новая Опера» г.Москва, Каретный ряд , 3"
103,Театр «МОСТ» (Основная сцена),"г. Москва, ул. Большая Садовая, 6 (ст. м. Маяковская)","Театр «МОСТ» (Основная сцена) г. Москва, ул. Большая Садовая, 6 (ст. м. Маяковская)"
104,Мoscow Polo Club — Московский Поло Клуб в Целеево,"МО, Дмитровский р-н, 56 км Дмитровского шоссе","Мoscow Polo Club — Московский Поло Клуб в Целеево МО, Дмитровский р-н, 56 км Дмитровского шоссе"
105,Московский Губернский театр,"г. Москва, Волгоградский проспект, 121","Московский Губернский театр г. Москва, Волгоградский проспект, 121"
106,Театрально-концертный зал «Академический»,"Ленинский проспект, д.32а (здание РАН)","Театрально-концертный зал «Академический» Ленинский проспект, д.32а (здание РАН)"
107,Высшая школа сценических искусств,"ул.Шереметьевская, д.6, корп.2","Высшая школа сценических искусств ул.Шереметьевская, д.6, корп.2"
108,ЦСКА Арена,"Москва, ул. Автозаводская, 23А","ЦСКА Арена Москва, ул. Автозаводская, 23А"
109,Марриотт Гранд Отель,"г. Москва, улица Тверская, дом 26/1","Марриотт Гранд Отель г. Москва, улица Тверская, дом 26/1"
110,Московский драматический театр «АпАРТе» (основная сцена),"г. Москва, улица Солженицына, дом 17, стр.5","Московский драматический театр «АпАРТе» (основная сцена) г. Москва, улица Солженицына, дом 17, стр.5"
111,Театр п/р А.Джигарханяна. Филиал на м. Спортивная,"г. Москва, ул. Кооперативная, д. 4, стр. 15","Театр п/р А.Джигарханяна. Филиал на м. Спортивная г. Москва, ул. Кооперативная, д. 4, стр. 15"
112,Центр Международной Торговли OLD," Краснопресненская наб., 12","Центр Международной Торговли OLD  Краснопресненская наб., 12"
113,Детский музыкально-драматический театр «А-Я»,"г.Москва, Петровский пер., д.5, стр.9","Детский музыкально-драматический театр «А-Я» г.Москва, Петровский пер., д.5, стр.9"
114,Городская Ферма ВДНХ,Проспект Мира 119 стр.244,Городская Ферма ВДНХ Проспект Мира 119 стр.244
115,Московский Театр Олега Табакова (Сцена на Сухаревской),"г. Москва, Малая Сухаревская площадь, д. 5","Московский Театр Олега Табакова (Сцена на Сухаревской) г. Москва, Малая Сухаревская площадь, д. 5"
116,Метро «Электрозаводская»,"г. Москва, метро ","Метро «Электрозаводская» г. Москва, метро "
117,ДК «Юбилейный»,"Московская область, город Ивантеевка, Первомайская улица, 13","ДК «Юбилейный» Московская область, город Ивантеевка, Первомайская улица, 13"
118,Особняк на Волхонке,"Большой Знаменский пер, дом 16 (вход через ворота с Большого Знаменского пер., дом 2, стр. 3)","Особняк на Волхонке Большой Знаменский пер, дом 16 (вход через ворота с Большого Знаменского пер., дом 2, стр. 3)"
119,ДМТЮА / Новая сцена на Чистых прудах,"ул. Макаренко, д. 4, стр. 1","ДМТЮА / Новая сцена на Чистых прудах ул. Макаренко, д. 4, стр. 1"
120,Бар «Ferragosto»,"г. Москва, улица Краснопрудная, дом 3-5с1","Бар «Ferragosto» г. Москва, улица Краснопрудная, дом 3-5с1"
121,Москва,"г. Москва, Манежная ул., д. 2","Москва г. Москва, Манежная ул., д. 2"
122,ДС «Олимпийский» им. С.В. Максимова (г. Чехов),"г. Чехов, ул. Полиграфистов, стр. 30","ДС «Олимпийский» им. С.В. Максимова (г. Чехов) г. Чехов, ул. Полиграфистов, стр. 30"
123,ДК «Химик» имени Докторова (Воскресенск),"Московская обл., Воскресенск, пл. Ленина, 1","ДК «Химик» имени Докторова (Воскресенск) Московская обл., Воскресенск, пл. Ленина, 1"
124,ЦДК «Созвездие»,"г. Дмитров, улица Загорская, дом 64","ЦДК «Созвездие» г. Дмитров, улица Загорская, дом 64"
125,Универмаг «Цветной». Веранда на крыше,"Цветной бульвар, дом 15 строение 1","Универмаг «Цветной». Веранда на крыше Цветной бульвар, дом 15 строение 1"
126,Arbat 21,"Москва, улица Новый Арбат 21","Arbat 21 Москва, улица Новый Арбат 21"
127,Бар «Руки ВВерх!» (Отрадное),"г. Москва, ул. Декабристов, д.15, стр. 2","Бар «Руки ВВерх!» (Отрадное) г. Москва, ул. Декабристов, д.15, стр. 2"
128,Парк Киноприключений,"2-й Сетуньский проезд, 3","Парк Киноприключений 2-й Сетуньский проезд, 3"
129,Драматический театр «Постскриптум»,"г. Москва, улица Электродная, дом 2, строение 32","Драматический театр «Постскриптум» г. Москва, улица Электродная, дом 2, строение 32"
130,Академ Джаз Клуб,"г. Москва, проспект Мира, дом 26/1","Академ Джаз Клуб г. Москва, проспект Мира, дом 26/1"
131,КЦ «Зодчие»,"ул. Партизанская, д.23","КЦ «Зодчие» ул. Партизанская, д.23"
132,Центр международной торговли,"г. Москва, Краснопресненская наб.12","Центр международной торговли г. Москва, Краснопресненская наб.12"
133,Боярские палаты СТД РФ,"Страстной бульвар, дом 10","Боярские палаты СТД РФ Страстной бульвар, дом 10"
134,Клуб Алексея Козлова,"ул.Маросейка, д.9/2, строение 1","Клуб Алексея Козлова ул.Маросейка, д.9/2, строение 1"
135,Кафе «Сценарио»,"Тверская улица, дом 22А","Кафе «Сценарио» Тверская улица, дом 22А"
136,Галерея искусств «Niko»,"Большой Тишинский переулок, дом 19, строение 1","Галерея искусств «Niko» Большой Тишинский переулок, дом 19, строение 1"
137,МТС Live Холл Москва,"Москва, шоссе Энтузиастов, дом 5, строение 2","МТС Live Холл Москва Москва, шоссе Энтузиастов, дом 5, строение 2"
138,АндерСон парк Царицыно,"г. Москва, ул. Тюрина, д. 1","АндерСон парк Царицыно г. Москва, ул. Тюрина, д. 1"
139,Дедовский КДК,"Дедовск, улица Гагарина, дом 14","Дедовский КДК Дедовск, улица Гагарина, дом 14"
140,VK Gipsy,"Москва, 119072,Болотная наб., 3/4, строение 2","VK Gipsy Москва, 119072,Болотная наб., 3/4, строение 2"
141,Джазовый клуб Игоря Бутмана,"улица Верхняя Радищевская, дом 21","Джазовый клуб Игоря Бутмана улица Верхняя Радищевская, дом 21"
142,Omega Rooftop,"г.Москва , ул. Цветной бульвар д.15 стр.1 (7 этаж)","Omega Rooftop г.Москва , ул. Цветной бульвар д.15 стр.1 (7 этаж)"
143,Отель «Савой»,"г. Москва, улица Рождественка, дом 3/6, строение 1","Отель «Савой» г. Москва, улица Рождественка, дом 3/6, строение 1"
144,Клуб «NewSlam»,"г.Раменское, ул.Воровского, 1","Клуб «NewSlam» г.Раменское, ул.Воровского, 1"
145,Хлебозавод. Дом «Simple Music»,"Новодмитровская улица, дом 1, строение 1 («Цилиндр»), 5 этаж","Хлебозавод. Дом «Simple Music» Новодмитровская улица, дом 1, строение 1 («Цилиндр»), 5 этаж"
146,Москва-сити. Башня Око,"Пресненская наб, 10","Москва-сити. Башня Око Пресненская наб, 10"
147,Музей эмоций,"г.Москва, метро Курская, БК Арма, Нижний Сусальный пер., д. 5 стр 18","Музей эмоций г.Москва, метро Курская, БК Арма, Нижний Сусальный пер., д. 5 стр 18"
148,Клуб «Заварка Гастроквартал»,"Улица Рочдельская, дом 15с30","Клуб «Заварка Гастроквартал» Улица Рочдельская, дом 15с30"
149,Книжный клуб «Гиперион»,"город Москва, Хохловский переулок, дом 7-9 стр 3","Книжный клуб «Гиперион» город Москва, Хохловский переулок, дом 7-9 стр 3"
150,Басманный двор. Двор Simple Music. Локация,"Спартаковская площадь, дом 16/15 строение 6","Басманный двор. Двор Simple Music. Локация Спартаковская площадь, дом 16/15 строение 6"
151,Lion’s Head Pub,"Мясницкая ул., 15","Lion’s Head Pub Мясницкая ул., 15"
152,Дизайн-завод «Флакон»,"Большая Новодмитровская улица, дом 36/4","Дизайн-завод «Флакон» Большая Новодмитровская улица, дом 36/4"
153,Парковка фабрики «Красный Октябрь»,"Болотная набережная, дом 4 строение 3","Парковка фабрики «Красный Октябрь» Болотная набережная, дом 4 строение 3"
154,Драматический театр Славы Степаняна,"Москва, ул. Советской Армии, дом 8","Драматический театр Славы Степаняна Москва, ул. Советской Армии, дом 8"
155,Бутик-ателье «Mastersuit»,"Пречистенка, дом 13","Бутик-ателье «Mastersuit» Пречистенка, дом 13"
156,Квартира Романа Виктюка,"г. Москва, улица Тверская, дом 4, кв. 87","Квартира Романа Виктюка г. Москва, улица Тверская, дом 4, кв. 87"
157,ДК «Саввино»,"Московская обл. г. Балашиха мкр. Саввино, ул. 1-го Мая, д.11В","ДК «Саввино» Московская обл. г. Балашиха мкр. Саввино, ул. 1-го Мая, д.11В"
158,Заповедник «Звенигородский Городок»,"Московская обл., г. Звенигород, улица Городок, дом 1","Заповедник «Звенигородский Городок» Московская обл., г. Звенигород, улица Городок, дом 1"
159,Музей-мастерская Зураба Церетели,"г. Москва, ул. Большая Грузинская д. 15 стр.1","Музей-мастерская Зураба Церетели г. Москва, ул. Большая Грузинская д. 15 стр.1"
160,Концертный зал «Моспродюсер»,"г. Москва, улица Маршала Малиновского, дом 7","Концертный зал «Моспродюсер» г. Москва, улица Маршала Малиновского, дом 7"
161,ДК «Машиностроитель»,"Подольск, микрорайон Климовск, улица Ленина, дом 20","ДК «Машиностроитель» Подольск, микрорайон Климовск, улица Ленина, дом 20"
162,Музей Пушкина,"г.Москва, Пречистенка, 12/2","Музей Пушкина г.Москва, Пречистенка, 12/2"
163,Дизайн-завод «Флакон» Loft,"Новодмитровская, д.36, стр.2","Дизайн-завод «Флакон» Loft Новодмитровская, д.36, стр.2"
164,Дворец Спорта «Багратион»,"г. Можайск, улица Мира, дом 15","Дворец Спорта «Багратион» г. Можайск, улица Мира, дом 15"
165,Лялин центр,"г. Москва, Лялин переулок, дом 24-26с2","Лялин центр г. Москва, Лялин переулок, дом 24-26с2"
166,ДК «Тепловозостроитель» (Коломна),"ул. Октябрьской Революции, 324, Коломна","ДК «Тепловозостроитель» (Коломна) ул. Октябрьской Революции, 324, Коломна"
167,Арт-пространство «Fotofaktura»,"г. МОСКВА, ул. Маросейка, д. 7/8","Арт-пространство «Fotofaktura» г. МОСКВА, ул. Маросейка, д. 7/8"
168,Городской центр культуры и досуга «Озёры»,"г. Озёры, улица Ленина, дом 20","Городской центр культуры и досуга «Озёры» г. Озёры, улица Ленина, дом 20"
169,ДК «Кристалл»,"г. Москва, Самокатная улица, дом 4 строение 11","ДК «Кристалл» г. Москва, Самокатная улица, дом 4 строение 11"
170,РЦ «Сказки и Развлечения»,"Москва, улица Арбат, дом 16/2 строение 3","РЦ «Сказки и Развлечения» Москва, улица Арбат, дом 16/2 строение 3"
171,ЦВКС Архангельское,"Московская область, Красногорский район, пос. «Архангельское»","ЦВКС Архангельское Московская область, Красногорский район, пос. «Архангельское»"
172,Особняк Василия Дмитриевича Носова,"Москва, ул. Электрозаводская, д. 12, стр. 1","Особняк Василия Дмитриевича Носова Москва, ул. Электрозаводская, д. 12, стр. 1"
173,Паб «O’Connell’s»,"г. Москва, улица Покровка, 18/18с1","Паб «O’Connell’s» г. Москва, улица Покровка, 18/18с1"
174,Культурный центр «Дом»,"Большой Овчинниковский переулок, 24 стр.4","Культурный центр «Дом» Большой Овчинниковский переулок, 24 стр.4"
175,ДК «Вперёд»,"г. Долгопрудный, пл. Собина, д. 3","ДК «Вперёд» г. Долгопрудный, пл. Собина, д. 3"
176,Джон Донн,"г. Москва, ул. Верхняя Радищевская, 15, стр. 2","Джон Донн г. Москва, ул. Верхняя Радищевская, 15, стр. 2"
177,Центр культуры и искусств Щукино,"Москва, улица Маршала Малиновского, дом 7","Центр культуры и искусств Щукино Москва, улица Маршала Малиновского, дом 7"
178,Встреча у метро Кропоткинская,"м. Кропоткинская, встреча у выхода №1 на Гоголевском бульваре","Встреча у метро Кропоткинская м. Кропоткинская, встреча у выхода №1 на Гоголевском бульваре"
179,Рестобар «I Van Gogh»,улица Большая Лубянка 13/16 стр 1,Рестобар «I Van Gogh» улица Большая Лубянка 13/16 стр 1
180,Каре-клуб,"г. Солнечногорск, ул. Банковская, д. 4","Каре-клуб г. Солнечногорск, ул. Банковская, д. 4"
181,Koko Loft,"Рублёво-успенское шоссе, дер. Борки, д.19","Koko Loft Рублёво-успенское шоссе, дер. Борки, д.19"
