,Название площадки,Адрес,vector
929,Дом А. Ф. Лосева,"г.Москва, улица Арбат, дом 33, этаж 3","Дом А. Ф. Лосева г.Москва, улица Арбат, дом 33, этаж 3"
930,МБУК ОДЦ «Октябрь» (Сергиев Посад),"г. Сергиев Посад, Центральная улица, дом 58","МБУК ОДЦ «Октябрь» (Сергиев Посад) г. Сергиев Посад, Центральная улица, дом 58"
931,Ресторан-клуб «12 АТМ»,"Московская область, г. Подольск ул. Рабочая, д. 5В","Ресторан-клуб «12 АТМ» Московская область, г. Подольск ул. Рабочая, д. 5В"
932,Школа №1505,"г. Москва, улица Пугачевская, дом 6","Школа №1505 г. Москва, улица Пугачевская, дом 6"
933,Бар «Мунк»,"улица Нижняя Сыромятническая, дом 1/4 строение 11","Бар «Мунк» улица Нижняя Сыромятническая, дом 1/4 строение 11"
934,Ресторан «Аристократ»,"г. Москва, набережная Тараса Шевченко, 23А","Ресторан «Аристократ» г. Москва, набережная Тараса Шевченко, 23А"
935,Ресторан «Кисловодск»,"г. Кисловодск, ул. Территориальная 2","Ресторан «Кисловодск» г. Кисловодск, ул. Территориальная 2"
936,Бар «Метафора»,"Москва, ул Маросейка, 6-8с1","Бар «Метафора» Москва, ул Маросейка, 6-8с1"
937,Каппадокия-Дэйли,"г. Москва, Тверская улица, дом 20 стр. 1","Каппадокия-Дэйли г. Москва, Тверская улица, дом 20 стр. 1"
938,м.Чистые Пруды у памятника А.С. Грибоедову,"г. Москва, м. Чистые пруды, выход номер 1, у памятника А.С. Грибоедову","м.Чистые Пруды у памятника А.С. Грибоедову г. Москва, м. Чистые пруды, выход номер 1, у памятника А.С. Грибоедову"
939,Театр города М,"г. Москва, Пречистенский переулок, дом 20","Театр города М г. Москва, Пречистенский переулок, дом 20"
940,Garage Hall,"г. Москва, ВДНХ, Проспект мира, 119 ст.53 (павильон №53)","Garage Hall г. Москва, ВДНХ, Проспект мира, 119 ст.53 (павильон №53)"
941,Театр «Точка Ру»,"Варшавское шоссе, дом 86А (2-й этаж)","Театр «Точка Ру» Варшавское шоссе, дом 86А (2-й этаж)"
942,Sq Bar Wine&Grill,"Проектируемый проезд № 4062, дом 6, строение 1","Sq Bar Wine&Grill Проектируемый проезд № 4062, дом 6, строение 1"
943,Бар «Rusty Pub»,"г. Москва, ул. Большая Новодмитровская, д. 36, стр.6","Бар «Rusty Pub» г. Москва, ул. Большая Новодмитровская, д. 36, стр.6"
944,Hello Park Ривьера,"г. Москва, улица Автозаводская, дом 18","Hello Park Ривьера г. Москва, улица Автозаводская, дом 18"
945,Теплоход «Алексия»,"г. Москва, Причал Новоспасский","Теплоход «Алексия» г. Москва, Причал Новоспасский"
946,Паб «Zolberg»,"г. Москва, 1-й Люсиновский пер. (БЦ Шервуд, этаж цокольный)","Паб «Zolberg» г. Москва, 1-й Люсиновский пер. (БЦ Шервуд, этаж цокольный)"
947,Арарат Парк Хаятт,"г. Москва, Неглинная улица, дом 4","Арарат Парк Хаятт г. Москва, Неглинная улица, дом 4"
948,Истринский КДК,"Московская область, г. Истра, Первомайская улица, дом 3","Истринский КДК Московская область, г. Истра, Первомайская улица, дом 3"
949,КПЦ «Дубровицы»,"Московская область, г. Подольск, посёлок Дубровицы, дом 65 А","КПЦ «Дубровицы» Московская область, г. Подольск, посёлок Дубровицы, дом 65 А"
950,Камеди бар «Сергеич»,"г. Москва, Садовая-Спасская улица, 21/1","Камеди бар «Сергеич» г. Москва, Садовая-Спасская улица, 21/1"
951,Брюсов-холл,"г. Москва, Вознесенский переулок, дом 14","Брюсов-холл г. Москва, Вознесенский переулок, дом 14"
952,"Теплоход «РИО-1» (Причал Северный речной вокзал, причал №1)","г. Москва, Северный речной вокзал, причал №1 (Ленинградское шоссе, дом 51)","Теплоход «РИО-1» (Причал Северный речной вокзал, причал №1) г. Москва, Северный речной вокзал, причал №1 (Ленинградское шоссе, дом 51)"
953,Дом русского зарубежья им. Александра Солженицына,"г. Москва, ул. Нижняя Радищевская, 2","Дом русского зарубежья им. Александра Солженицына г. Москва, ул. Нижняя Радищевская, 2"
954,Хлебозавод №9,"г. Москва, Новодмитровская ул., 1","Хлебозавод №9 г. Москва, Новодмитровская ул., 1"
955,Дом музыки,"г. Москва, Космодамианская наб. 52, стр. 8","Дом музыки г. Москва, Космодамианская наб. 52, стр. 8"
956,Государственный театр наций,"Москва, Петровский переулок, д.3","Государственный театр наций Москва, Петровский переулок, д.3"
957,Театр на Таганке,"г.Москва, Земляной вал, 76/21","Театр на Таганке г.Москва, Земляной вал, 76/21"
958,КЦ «Внуково»,"г. Москва улица Большая Внуковская, дом 6","КЦ «Внуково» г. Москва улица Большая Внуковская, дом 6"
959,Театр имени Сац,"г.Москва, Пр-т Вернадского, 5","Театр имени Сац г.Москва, Пр-т Вернадского, 5"
960,МБУ «ДК Апрелевка»,"г. Апрелевка, улица Комсомольская, дом 15 А","МБУ «ДК Апрелевка» г. Апрелевка, улица Комсомольская, дом 15 А"
961,Театр «Содружество актеров Таганки»,"г.Москва, Земляной вал, 76/21","Театр «Содружество актеров Таганки» г.Москва, Земляной вал, 76/21"
962,КЦ Братеево,"Москва, ул. Братеевская, д.16, к. 3","КЦ Братеево Москва, ул. Братеевская, д.16, к. 3"
963,МДМ,"г. Москва, Комсомольский пр-т, 28","МДМ г. Москва, Комсомольский пр-т, 28"
964,Культурный центр «Меридиан»,"г. Москва, Профсоюзная улица, дом 61","Культурный центр «Меридиан» г. Москва, Профсоюзная улица, дом 61"
965,Дом кино,"г.Москва, Васильевская, 13","Дом кино г.Москва, Васильевская, 13"
966,Театр «У Никитских ворот»,"Москва, Б. Никитская ул., д.23/9","Театр «У Никитских ворот» Москва, Б. Никитская ул., д.23/9"
967,Русский духовный театр «Глас»,"г. Москва, Большая Татарская улица, дом 29","Русский духовный театр «Глас» г. Москва, Большая Татарская улица, дом 29"
968,Мастерская Петра Фоменко,"г. Москва, Набережная Тараса Шевченко, дом 29","Мастерская Петра Фоменко г. Москва, Набережная Тараса Шевченко, дом 29"
969,Спортивный комплекс «Балашиха-Арена»,"г. Балашиха, ул. Парковая, 2","Спортивный комплекс «Балашиха-Арена» г. Балашиха, ул. Парковая, 2"
970,Филиал театра Пушкина,"г.Москва, Сытинский пер. д.3/25","Филиал театра Пушкина г.Москва, Сытинский пер. д.3/25"
971,Историко-этнографический театр,"г.Москва, ул. Рудневой д.3","Историко-этнографический театр г.Москва, ул. Рудневой д.3"
972,Центральный Дом Архитектора,"г.Москва, Гранатный пер., д.7, стр.1","Центральный Дом Архитектора г.Москва, Гранатный пер., д.7, стр.1"
973,Клуб «Известия Hall»,"г.Москва, Пушкинская площадь д.5","Клуб «Известия Hall» г.Москва, Пушкинская площадь д.5"
974,Джаз Клуб «Союз композиторов»,"г. Москва, Брюсов пер. д.8/10 стр.2","Джаз Клуб «Союз композиторов» г. Москва, Брюсов пер. д.8/10 стр.2"
975,Гоголь-центр,"г.Москва, ул. Казакова, д. 8","Гоголь-центр г.Москва, ул. Казакова, д. 8"
976,ВДНХ,"г. Москва, Проспект Мира, 119","ВДНХ г. Москва, Проспект Мира, 119"
977,ДК «Подмосковье»,"г. Красногорск, ул. Ленина, 3","ДК «Подмосковье» г. Красногорск, ул. Ленина, 3"
978,Концертный зал «Барвиха»,"Московская обл., Одинцовский р-он, деревня Барвиха, д.114","Концертный зал «Барвиха» Московская обл., Одинцовский р-он, деревня Барвиха, д.114"
979,Театр Гоголя,"г. Москва, улица Казакова, дом 8","Театр Гоголя г. Москва, улица Казакова, дом 8"
980,Московский дом композиторов,"Брюсов пер., д.8/10","Московский дом композиторов Брюсов пер., д.8/10"
981,Дворец спорта «Триумф»,"Люберцы, ул.Смирновская, д.4","Дворец спорта «Триумф» Люберцы, ул.Смирновская, д.4"
982,Театр «Русская песня»,"г. Москва, Олимпийский пр., д. 14","Театр «Русская песня» г. Москва, Олимпийский пр., д. 14"
983,Зеленый театр,"г.Москва, Крымский Вал ул., 9, стр. 33","Зеленый театр г.Москва, Крымский Вал ул., 9, стр. 33"
984,Усадьба Кусково,"улица Юности, дом 2","Усадьба Кусково улица Юности, дом 2"
985,ГЛАВLETO в парке «Красная Пресня»,"Москва, ул.Мантулинская, д.5","ГЛАВLETO в парке «Красная Пресня» Москва, ул.Мантулинская, д.5"
986,Библиотека искусств имени Боголюбова,"Москва, ул. Сущевская, 14","Библиотека искусств имени Боголюбова Москва, ул. Сущевская, 14"
987,ТРЦ «Ривьера»,"ул. Автозаводская, 18","ТРЦ «Ривьера» ул. Автозаводская, 18"
988,Клуб «Мумий Тролль Music Bar»,"г. Москва, улица Новый Арбат, дом 15 ","Клуб «Мумий Тролль Music Bar» г. Москва, улица Новый Арбат, дом 15 "
989,Студия «Musica Viva»,"Москва, Денисовский переулок д.30/1","Студия «Musica Viva» Москва, Денисовский переулок д.30/1"
990,Московский детский театр теней,"Измайловский бульвар, 60/10","Московский детский театр теней Измайловский бульвар, 60/10"
991,Винзавод,"4-й Сыромятнический переулок, дом 1, стр.6","Винзавод 4-й Сыромятнический переулок, дом 1, стр.6"
992,КЗ «Родник»,"Московская обл. г. Железнодорожный  ул. Новая, дом 55","КЗ «Родник» Московская обл. г. Железнодорожный  ул. Новая, дом 55"
993,ВЭБ Арена,ул. 3-я Песчаная д.2А,ВЭБ Арена ул. 3-я Песчаная д.2А
994,Центр Павла Слободкина,"г.Москва, ул. Арбат, 48","Центр Павла Слободкина г.Москва, ул. Арбат, 48"
995,Дворец на Яузе,"г.Москва, пл. Журавлёва, 1","Дворец на Яузе г.Москва, пл. Журавлёва, 1"
996,ДК города Жуковский (Жуковский),"г. Жуковский, ул. Фрунзе д. 28","ДК города Жуковский (Жуковский) г. Жуковский, ул. Фрунзе д. 28"
997,ДК «Энергетик» Дзержинский,"г. Дзержинский, ул. Ленина д. 3","ДК «Энергетик» Дзержинский г. Дзержинский, ул. Ленина д. 3"
998,Центральный дом журналиста,"г.Москва, Никитский б-р, 8А","Центральный дом журналиста г.Москва, Никитский б-р, 8А"
999,ДК имени Гагарина (г. Сергиев-Посад),"г. Сергиев-Посад, улица Кр.Армии, дом 185","ДК имени Гагарина (г. Сергиев-Посад) г. Сергиев-Посад, улица Кр.Армии, дом 185"
1000,Музей П.И. Чайковского в Москве,"Кудринская пл., 46/54","Музей П.И. Чайковского в Москве Кудринская пл., 46/54"
1001,Москва-Сити. Башня «Око»,"1-й Красногвардейский пр-д, 21/1","Москва-Сити. Башня «Око» 1-й Красногвардейский пр-д, 21/1"
1002,Московский Театр Кукол (Камерная сцена),"г.Москва, ул. Бажова, д.9","Московский Театр Кукол (Камерная сцена) г.Москва, ул. Бажова, д.9"
1003,Кафе-баре «RA’MEN»,"4-й Сыромятнический переулок, 1с3 (м. Курская, Винзавод)","Кафе-баре «RA’MEN» 4-й Сыромятнический переулок, 1с3 (м. Курская, Винзавод)"
1004,Stereo People (ул. Новослободская),"г. Москва, ул. Новослободская, 16а","Stereo People (ул. Новослободская) г. Москва, ул. Новослободская, 16а"
1005,Оранжерея ВДНХ (павильон 14),"г. Москва, Проспект Мира, д.119, ВВЦ, стр.14","Оранжерея ВДНХ (павильон 14) г. Москва, Проспект Мира, д.119, ВВЦ, стр.14"
1006,Театр Эстрады,"г.Москва, Берсеневская наб., 20/2","Театр Эстрады г.Москва, Берсеневская наб., 20/2"
1007,VK Stadium,"г. Москва, Ленинградский проспект д.80, корп.17","VK Stadium г. Москва, Ленинградский проспект д.80, корп.17"
1008,Российский национальный музей музыки,"Москва, ул.Фадеева, д.4","Российский национальный музей музыки Москва, ул.Фадеева, д.4"
1009,Российский Университет Спорта «ГЦОЛИФК»,"г. Москва, Сиреневый бульвар, дом 4","Российский Университет Спорта «ГЦОЛИФК» г. Москва, Сиреневый бульвар, дом 4"
1010,Музей «В Тишине»,"г. Москва, природно-исторический парк Кузьминки-Люблино, д.1, стр.12","Музей «В Тишине» г. Москва, природно-исторический парк Кузьминки-Люблино, д.1, стр.12"
1011,Бар «StereoPeople»,"г. Москва, Столешников пер., 6 стр.2","Бар «StereoPeople» г. Москва, Столешников пер., 6 стр.2"
1012,ГБУК г. Москвы «КЦ имени И.М. Астахова»,"Люблинская улица, 149","ГБУК г. Москвы «КЦ имени И.М. Астахова» Люблинская улица, 149"
1013,Музыкальный театр имени Станиславского и Немировича-Данченко,"Москва, Большая Дмитровка, 17","Музыкальный театр имени Станиславского и Немировича-Данченко Москва, Большая Дмитровка, 17"
1014,Творческий центр «Москворечье»,"г.Москва, Каширское шоссе, 52","Творческий центр «Москворечье» г.Москва, Каширское шоссе, 52"
1015,"Теплоход «РИО-4» (Причал Северный речной вокзал, причал №1)","г. Москва, Северный речной вокзал, причал №1 (Ленинградское шоссе, д. 51)","Теплоход «РИО-4» (Причал Северный речной вокзал, причал №1) г. Москва, Северный речной вокзал, причал №1 (Ленинградское шоссе, д. 51)"
1016,Дизайн-завод,"г. москва, ул. Большая Новодмитровская, д.36 стр.2","Дизайн-завод г. москва, ул. Большая Новодмитровская, д.36 стр.2"
1017,Библиотека киноискусства,"г. Москва, улица Каретный ряд, дом 5/10, стр.2","Библиотека киноискусства г. Москва, улица Каретный ряд, дом 5/10, стр.2"
1018,ДК Ершово,"г. Одинцово, село Ершово, дом 3а","ДК Ершово г. Одинцово, село Ершово, дом 3а"
1019,КЗ «МИСиС»,"Ленинский пр-т, д.4","КЗ «МИСиС» Ленинский пр-т, д.4"
1020,Центр драматургии и режиссуры на Беговой,"Беговая ул., д. 5","Центр драматургии и режиссуры на Беговой Беговая ул., д. 5"
1021,Дом культуры МИИТ,"Новосущевский пер., д.6, стр.1","Дом культуры МИИТ Новосущевский пер., д.6, стр.1"
1022,ДК «Московский»,"г. Московский, микрорайон 1, дом 49","ДК «Московский» г. Московский, микрорайон 1, дом 49"
1023,Клуб «Aglomerat»,"Москва, Костомаровский пер., д. 3, стр. 12","Клуб «Aglomerat» Москва, Костомаровский пер., д. 3, стр. 12"
1024,Теплоход «Билайнер» (Северный речной вокзал),"г.Москва, Ленинградское шоссе, д.51А","Теплоход «Билайнер» (Северный речной вокзал) г.Москва, Ленинградское шоссе, д.51А"
1025,Гастробар «Беловъ»,"г. Москва, улица Маросейка, дом 9/2, строение 6","Гастробар «Беловъ» г. Москва, улица Маросейка, дом 9/2, строение 6"
1026,Uct Garage,"г. Москва, Бережковская набережная, 20 стр 9","Uct Garage г. Москва, Бережковская набережная, 20 стр 9"
1027,Яхт-клуб-ресторан «Shore House»,"МКАД, 66-й км, к.5","Яхт-клуб-ресторан «Shore House» МКАД, 66-й км, к.5"
1028,ОСЗК «Волейбольный центр» г. Одинцово," г. Одинцово, ул. Маршала Жукова, д. 22.","ОСЗК «Волейбольный центр» г. Одинцово  г. Одинцово, ул. Маршала Жукова, д. 22."
1029,Московский планетарий,"ул. Садовая-Кудринская, д.5, стр.1","Московский планетарий ул. Садовая-Кудринская, д.5, стр.1"
1030,Экорадость тур (Москва),"Большая Грузинская улица, дом 1, центральный вход","Экорадость тур (Москва) Большая Грузинская улица, дом 1, центральный вход"
1031,Деловой комплекс «Мир»,"г. Реутов, ул. Победы д. 20","Деловой комплекс «Мир» г. Реутов, ул. Победы д. 20"
1032,ДК «Яуза» (г. Мытищи),"Московская область, г.Мытищи, улица Мира, 2А","ДК «Яуза» (г. Мытищи) Московская область, г.Мытищи, улица Мира, 2А"
1033,Music Media Dome,"ш. Энтузиастов, 5, стр. 2","Music Media Dome ш. Энтузиастов, 5, стр. 2"
1034,Музей-заповедник Ленинские горки,"Московская обл., Ленинский р-н, п/о Горки Ленинские","Музей-заповедник Ленинские горки Московская обл., Ленинский р-н, п/о Горки Ленинские"
1035,Библиотека-Читальня им.А.С.Пушкина,"г. Москва, Спартаковская ул., 9, стр. 3","Библиотека-Читальня им.А.С.Пушкина г. Москва, Спартаковская ул., 9, стр. 3"
1036,Синема тур (Москва),"Москва, Мосфильмовская ул., д.1, центральный вход.","Синема тур (Москва) Москва, Мосфильмовская ул., д.1, центральный вход."
1037,Бар «Anton»,"г. Москва, Пресненская набережная, дом 8, строение 1","Бар «Anton» г. Москва, Пресненская набережная, дом 8, строение 1"
1038,Государственный Дарвиновский музей,"г.Москва, ул.Вавилова, д.57","Государственный Дарвиновский музей г.Москва, ул.Вавилова, д.57"
1039,Музыкальная квартира на Тверской,"г. Москва, 1-я Тверская Ямская, 16/23 строение 1","Музыкальная квартира на Тверской г. Москва, 1-я Тверская Ямская, 16/23 строение 1"
1040,Теплоход класса «Москва» Причал «Кленовый Бульвар»,"Москва Нагатинская наб., 40А Причал ","Теплоход класса «Москва» Причал «Кленовый Бульвар» Москва Нагатинская наб., 40А Причал "
1041,Москвариум,"г. Москва, Проспект мира, д. 119, стр. 23","Москвариум г. Москва, Проспект мира, д. 119, стр. 23"
1042,ДК имени Гагарина (г. Сергиев Посад)," г. Сергиев Посад, пр-т Красной Армии, 185","ДК имени Гагарина (г. Сергиев Посад)  г. Сергиев Посад, пр-т Красной Армии, 185"
1043,Крыша отеля Radisson Collection Moscow,"г. Москва, Кутузовский проспект, 2/1, с1","Крыша отеля Radisson Collection Moscow г. Москва, Кутузовский проспект, 2/1, с1"
1044,Бар «Квадрат»,"г. Москва, Кривоколенный переулок, дом 3","Бар «Квадрат» г. Москва, Кривоколенный переулок, дом 3"
1045,Punch & Judy,"г. Москва, улица Пятницкая, дом 6/1 стр.1, помещ.X","Punch & Judy г. Москва, улица Пятницкая, дом 6/1 стр.1, помещ.X"
1046,ДК «Россия» (Серпухов),"Московская обл., г.Серпухов, ул.Советская, 90","ДК «Россия» (Серпухов) Московская обл., г.Серпухов, ул.Советская, 90"
1047,Туристический комплекс «Империя туризма»,"Россия, Алтайский край, Айский тракт, дом 1А","Туристический комплекс «Империя туризма» Россия, Алтайский край, Айский тракт, дом 1А"
1048,Фестиваль «Территория»,"г. Москва, ул. Большая Дмитровка, д. 5/6, стр. 4","Фестиваль «Территория» г. Москва, ул. Большая Дмитровка, д. 5/6, стр. 4"
1049,Караоке-ресторан «Джем»,"г. Москва, улица Самокатная, дом 2к1","Караоке-ресторан «Джем» г. Москва, улица Самокатная, дом 2к1"
1050,Концертный зал «Ярославский» (ММКЦ СВАО),"г. Москва, Ярославское шоссе, дом 124","Концертный зал «Ярославский» (ММКЦ СВАО) г. Москва, Ярославское шоссе, дом 124"
1051,«СОбытие»,"4-й Сыромятнический пер, д.3/5, стр.4","«СОбытие» 4-й Сыромятнический пер, д.3/5, стр.4"
1052,КЦ «Интеграция»,"г. Москва, ул. Тверская, 14","КЦ «Интеграция» г. Москва, ул. Тверская, 14"
1053,Дом культуры «Мир» (г. Дубна),"Московская область, г.Дубна, Аллея Высоцкого, д.1","Дом культуры «Мир» (г. Дубна) Московская область, г.Дубна, Аллея Высоцкого, д.1"
1054,Гостиница «Hilton Moscow Leningradskaya»,"Каланчевская улица, дом 21/40","Гостиница «Hilton Moscow Leningradskaya» Каланчевская улица, дом 21/40"
1055,Паб «9 Марта»,"г. Лобня,Ул. Крупской, 1А","Паб «9 Марта» г. Лобня,Ул. Крупской, 1А"
1056,Музей русского импрессионизма,"125040, г. Москва, Ленинградский проспект, д.15, стр.11","Музей русского импрессионизма 125040, г. Москва, Ленинградский проспект, д.15, стр.11"
1057,Гольф-клуб «Завидово»,"Тверская область, Конаковский район, с/п Завидово, д. Архангельское, 67","Гольф-клуб «Завидово» Тверская область, Конаковский район, с/п Завидово, д. Архангельское, 67"
1058,Автомузей «Моторы Октября»,"Самокатная улица, 4с34","Автомузей «Моторы Октября» Самокатная улица, 4с34"
1059,МКЗ «Зарядье»,"г. Москва  ул. Варварка, 6, стр. 4, Москва","МКЗ «Зарядье» г. Москва  ул. Варварка, 6, стр. 4, Москва"
1060,Gazgolder Club,"г. Москва, Нижний Сусальный пер 5 стр 26","Gazgolder Club г. Москва, Нижний Сусальный пер 5 стр 26"
1061,Галерея Нико,"Москва, Большой Тишинский переулок, дом 19, строение 1","Галерея Нико Москва, Большой Тишинский переулок, дом 19, строение 1"
1062,Причал Кленовый бульвар,"г. Москва, Нагатинская набережная, дом 40А","Причал Кленовый бульвар г. Москва, Нагатинская набережная, дом 40А"
1063,Киноклуб «Эльдар»,"г. Москва, Ленинский проспект, дом 105","Киноклуб «Эльдар» г. Москва, Ленинский проспект, дом 105"
1064,Аэропорт Быково,"140100, Московская область, Раменский район, рабочий поселок Быково, Советская улица, 19","Аэропорт Быково 140100, Московская область, Раменский район, рабочий поселок Быково, Советская улица, 19"
1065,Ресторан «Империя»,"Улица Шаболовская, дом 58","Ресторан «Империя» Улица Шаболовская, дом 58"
1066,Синема Парк Метрополис,"Москва, Ленинградское ш., 16А, стр. 4","Синема Парк Метрополис Москва, Ленинградское ш., 16А, стр. 4"
1067,Библиотека № 25 имени Всеволода Иванова,"г. Москва, улица Врубеля, дом 13","Библиотека № 25 имени Всеволода Иванова г. Москва, улица Врубеля, дом 13"
1068,Кафе «Хвоя»,"Старая Басманная ул., 17, стр. 3, (Сад им. Баумана)","Кафе «Хвоя» Старая Басманная ул., 17, стр. 3, (Сад им. Баумана)"
1069,Музей военной формы,"г. Москва, улица Большая Никитская дом 46/17, строение 1","Музей военной формы г. Москва, улица Большая Никитская дом 46/17, строение 1"
1070,Бар «ХЗ»,"г. Москва, Проспект Мира, дом 12, строение 9","Бар «ХЗ» г. Москва, Проспект Мира, дом 12, строение 9"
1071,Multimedia Hall,"Пушкинская площадь, дом 3","Multimedia Hall Пушкинская площадь, дом 3"
1072,ЦКиД Куровское,"Куровское, улица Вокзальная, дом 7","ЦКиД Куровское Куровское, улица Вокзальная, дом 7"
1073,НЧУДО Сити Класс,"г. Москва, проспект Ленинский, дом 38, к. А","НЧУДО Сити Класс г. Москва, проспект Ленинский, дом 38, к. А"
1074,Колесо обозрения «Солнце Москвы»,"г. Москва, 2-я Останкинская улица, дом 3","Колесо обозрения «Солнце Москвы» г. Москва, 2-я Останкинская улица, дом 3"
1075,Причал Мост «Багратион»,"Набережная Тараса Шевченко, дом 23А","Причал Мост «Багратион» Набережная Тараса Шевченко, дом 23А"
1076,Стендап Бар «Патрики»,"Садовая-Кудринская улица, дом 20","Стендап Бар «Патрики» Садовая-Кудринская улица, дом 20"
1077,Lola бар,"Грузинский вал, дом 11 строение 3","Lola бар Грузинский вал, дом 11 строение 3"
1078,Клуб «Roof Hall»,"Ленинградский проспект, дом 36 строение 11","Клуб «Roof Hall» Ленинградский проспект, дом 36 строение 11"
1079,Караоке-ресторан «Луна»,"Улица Митинская, дом 16","Караоке-ресторан «Луна» Улица Митинская, дом 16"
1080,Клуб «Punk Fiction»,"Ольховская улица, дом 14, строение 1","Клуб «Punk Fiction» Ольховская улица, дом 14, строение 1"
1081,Музей-заповедник Пушкина,"Московская обл., Одинцовский р-н, пос. Большие Вяземы","Музей-заповедник Пушкина Московская обл., Одинцовский р-н, пос. Большие Вяземы"
1082,Клуб «Мариус»,"г. Москва, ул. Миклухо-Маклая, 18 корпус 2","Клуб «Мариус» г. Москва, ул. Миклухо-Маклая, 18 корпус 2"
1083,Клуб «Урбан»,"Москва, улица Новодмитровская, дом 36с24","Клуб «Урбан» Москва, улица Новодмитровская, дом 36с24"
1084,Клуб «Roof One»,"Улица Киевская, дом 2","Клуб «Roof One» Улица Киевская, дом 2"
1085,Ресторан «Трамплин на Воробьёвых»,"г. Москва, улица Косыгина, дом 28","Ресторан «Трамплин на Воробьёвых» г. Москва, улица Косыгина, дом 28"
1086,Усадьба Поливанова,"г. Москва, Денежный переулок, дом 9/6","Усадьба Поливанова г. Москва, Денежный переулок, дом 9/6"
1087,Культурный центр Исмаила Ахметова,"г. Москва, улица Дубиниская, дом 57, корпус 1","Культурный центр Исмаила Ахметова г. Москва, улица Дубиниская, дом 57, корпус 1"
1088,Отель «Вертикаль»,"г. Москва, улица Малые Каменщики, дом 16","Отель «Вертикаль» г. Москва, улица Малые Каменщики, дом 16"
1089,Московский еврейский общинный центр (МЕОЦ),"г. Москва, 2-й Вышеславцев переулок, дом 5А","Московский еврейский общинный центр (МЕОЦ) г. Москва, 2-й Вышеславцев переулок, дом 5А"
1090,Бунырево,"Тульская область, Алексинский район, д. Бунырево","Бунырево Тульская область, Алексинский район, д. Бунырево"
1091,Клуб «Смена 2.0»,"Москва, Товарищеский переулок, дом 4с5","Клуб «Смена 2.0» Москва, Товарищеский переулок, дом 4с5"
1092,Троицкий собор Данилова монастыря,"Москва, Даниловский вал, д. 22","Троицкий собор Данилова монастыря Москва, Даниловский вал, д. 22"
1093,Государственный музей Льва Толстого,"г.Москва, ул. Пречистинка, д. 11/8","Государственный музей Льва Толстого г.Москва, ул. Пречистинка, д. 11/8"
1094,Дворец спорта «Радуга»,"г. Дубна, улица Макаренко, дом 46","Дворец спорта «Радуга» г. Дубна, улица Макаренко, дом 46"
1095,Выставка Роза Эйнема,"Москва, ул. Берсеньевская набережная д 6 стр 1","Выставка Роза Эйнема Москва, ул. Берсеньевская набережная д 6 стр 1"
1096,LOFT 13,"г. Москва, улица Мясницкая, дом 13с11","LOFT 13 г. Москва, улица Мясницкая, дом 13с11"
1097,Центральный дом предпринимателя,"г.Москва, улица Покровка, дом 47/24, строение 1","Центральный дом предпринимателя г.Москва, улица Покровка, дом 47/24, строение 1"
1098,Крым terrace Moscow,"г. Москва, Болотная набережная 3, строение 1","Крым terrace Moscow г. Москва, Болотная набережная 3, строение 1"
1099,Павильон «Космос» ВДНХ,"Москва, проспект Мира, д. 119, стр.230","Павильон «Космос» ВДНХ Москва, проспект Мира, д. 119, стр.230"
1100,Art Maison,"г. Москва, Нижняя Красносельская 35 с 23","Art Maison г. Москва, Нижняя Красносельская 35 с 23"
1101,Арт-пространство Point,"г. Москва, улица Малая Полянка дом 7, строение 5","Арт-пространство Point г. Москва, улица Малая Полянка дом 7, строение 5"
1102,Icon Residence Gastro & Party,"Московская обл., г. Истра, улица Московская, дом 5","Icon Residence Gastro & Party Московская обл., г. Истра, улица Московская, дом 5"
1103,ЦДК Щёлково,"141196, Московская Область, г. Щёлково, улица Пушкина, строение 22","ЦДК Щёлково 141196, Московская Область, г. Щёлково, улица Пушкина, строение 22"
1104,Клуб «Nebar»,"г. Москва, ул Мясницкая д.13 с1","Клуб «Nebar» г. Москва, ул Мясницкая д.13 с1"
1105,Spiritory Bar,"г. Москва, 1-й Тверской-Ямской переулок, 14 (цокольный этаж)","Spiritory Bar г. Москва, 1-й Тверской-Ямской переулок, 14 (цокольный этаж)"
1106,Памятник Кириллу и Мефодию,"г. Москва, Лубянский проезд, 25","Памятник Кириллу и Мефодию г. Москва, Лубянский проезд, 25"
1107,"Москва, Сосновый лес","Москва, Сосновый лес","Москва, Сосновый лес Москва, Сосновый лес"
1108,Теплоход «Билайнер» (Причал: «Кленовый бульвар»),"Пересечение Нагатинской набережной и ул. Кленовый бульвар, д.2","Теплоход «Билайнер» (Причал: «Кленовый бульвар») Пересечение Нагатинской набережной и ул. Кленовый бульвар, д.2"
1109,Пространство «Внутри»,"г. Москва, Казакова дом 8, строение 3","Пространство «Внутри» г. Москва, Казакова дом 8, строение 3"
1110,Причал «Международная выставка»,"г. Москва, улица Краснопресненская набережная, напротив Храма преподобного Серафима Саровского","Причал «Международная выставка» г. Москва, улица Краснопресненская набережная, напротив Храма преподобного Серафима Саровского"
1111,Музей гаража особого назначения,"г. Москва, проспект Мира, дом 119, строение 53","Музей гаража особого назначения г. Москва, проспект Мира, дом 119, строение 53"
1112,Бар «Arma lounge»,"г. Москва, Нижний Сусальный переулок, д. 5 с1, этаж 1","Бар «Arma lounge» г. Москва, Нижний Сусальный переулок, д. 5 с1, этаж 1"
